Name,Hex (RGB),Red (RGB),Green (RGB),Blue (RGB),Hue (HSL/HSV),Saturation (HSL),Light (HSL),Saturation (HSV),Value (HSV)
Spanish red ,#E60026 ,90.00%,0.00%,15.00%,350° ,100.00%,45.00%,100.00%,90.00%
Spanish sky blue ,#00FFFE ,0.00%,100.00%,100.00%,180° ,100.00%,50.00%,100.00%,100.00%
Spanish violet ,#4C2882 ,30.00%,16.00%,51.00%,264° ,53.00%,33.00%,69.00%,51.00%
Spanish viridian ,#007F5C ,0.00%,50.00%,36.00%,163° ,100.00%,25.00%,100.00%,50.00%
Spring bud ,#A7FC00 ,65.00%,99.00%,0.00%,80° ,100.00%,49.00%,100.00%,99.00%
Spring Frost ,#87FF2A ,53.00%,100.00%,16.00%,94° ,100.00%,58.00%,84.00%,100.00%
Spring green ,#00FF7F ,0.00%,100.00%,50.00%,150° ,100.00%,50.00%,100.00%,100.00%
Spring green (Crayola) ,#ECEBBD ,93.00%,92.00%,74.00%,59° ,55.00%,83.00%,20.00%,93.00%
Star command blue ,#007BB8 ,0.00%,48.00%,72.00%,200° ,100.00%,36.00%,100.00%,72.00%
Steel blue ,#4682B4 ,27.00%,51.00%,71.00%,207° ,44.00%,49.00%,61.00%,71.00%
Steel pink ,#CC33CC ,80.00%,20.00%,80.00%,300° ,60.00%,50.00%,75.00%,80.00%
Stil de grain yellow ,#FADA5E ,98.00%,85.00%,37.00%,48° ,94.00%,67.00%,62.00%,98.00%
Straw ,#E4D96F ,89.00%,85.00%,44.00%,54° ,68.00%,66.00%,51.00%,89.00%
Strawberry ,#FA5053 ,98.00%,31.00%,33.00%,359° ,94.00%,65.00%,68.00%,98.00%
Strawberry Blonde ,#FF9361 ,100.00%,58.00%,38.00%,19° ,100.00%,69.00%,62.00%,100.00%
Strong Lime Green ,#33CC33 ,20.00%,80.00%,20.00%,120° ,60.00%,69.00%,62.00%,100.00%
Sugar Plum ,#914E75 ,57.00%,31.00%,46.00%,325° ,30.00%,44.00%,46.00%,57.00%
Sunglow ,#FFCC33 ,100.00%,80.00%,20.00%,45° ,100.00%,60.00%,80.00%,100.00%
Sunray ,#E3AB57 ,89.00%,67.00%,34.00%,36° ,71.00%,62.00%,62.00%,89.00%
Sunset ,#FAD6A5 ,98.00%,84.00%,65.00%,35° ,90.00%,81.00%,34.00%,98.00%
Super pink ,#CF6BA9 ,81.00%,42.00%,66.00%,323° ,51.00%,62.00%,48.00%,81.00%
Sweet Brown ,#A83731 ,66.00%,22.00%,19.00%,3° ,55.00%,43.00%,71.00%,66.00%
Syracuse Orange ,#D44500 ,83.00%,27.00%,0.00%,9° ,100.00%,42.00%,72.00%,100.00%
Tan ,#D2B48C ,82.00%,71.00%,55.00%,25° ,44.00%,69.00%,33.00%,82.00%
Tan (Crayola) ,#D99A6C ,85.00%,60.00%,42.00%,34° ,59.00%,64.00%,50.00%,85.00%
Tangerine ,#F28500 ,95.00%,52.00%,0.00%,33° ,100.00%,47.00%,100.00%,95.00%
Tango pink ,#E4717A ,89.00%,44.00%,48.00%,355° ,68.00%,67.00%,50.00%,89.00%
Tart Orange ,#FB4D46 ,98.00%,30.00%,27.00%,2° ,96.00%,63.00%,72.00%,98.00%
Taupe ,#483C32 ,28.00%,24.00%,20.00%,27° ,18.00%,24.00%,31.00%,28.00%
Taupe gray ,#8B8589 ,55.00%,52.00%,54.00%,320° ,3.00%,53.00%,4.00%,55.00%
Tea green ,#D0F0C0 ,82.00%,94.00%,75.00%,100° ,62.00%,85.00%,20.00%,94.00%
Tea rose ,#F4C2C2 ,96.00%,76.00%,76.00%,0° ,69.00%,86.00%,20.00%,96.00%
Teal ,#008080 ,0.00%,50.00%,50.00%,180° ,100.00%,25.00%,100.00%,50.00%
Teal blue ,#367588 ,21.00%,46.00%,53.00%,194° ,43.00%,37.00%,60.00%,53.00%
Technobotanica ,#00FFBF ,0.00%,100.00%,75.00%,165° ,100.00%,50.00%,100.00%,100.00%
Telemagenta ,#CF3476 ,81.00%,20.00%,46.00%,334° ,62.00%,51.00%,75.00%,81.00%
Tenné (tawny) ,#CD5700 ,80.00%,34.00%,0.00%,25° ,100.00%,40.00%,100.00%,80.00%
Terra cotta ,#E2725B ,89.00%,45.00%,36.00%,10° ,70.00%,62.00%,60.00%,89.00%
Thistle ,#D8BFD8 ,85.00%,75.00%,85.00%,300° ,24.00%,80.00%,12.00%,85.00%
Thulian pink ,#DE6FA1 ,87.00%,44.00%,63.00%,333° ,63.00%,65.00%,50.00%,87.00%
Tickle Me Pink ,#FC89AC ,99.00%,54.00%,67.00%,342° ,95.00%,76.00%,46.00%,99.00%
Tiffany Blue ,#0ABAB5 ,4.00%,73.00%,71.00%,178° ,90.00%,38.00%,95.00%,73.00%
Timberwolf ,#DBD7D2 ,86.00%,84.00%,82.00%,33° ,11.00%,84.00%,4.00%,86.00%
Titanium yellow ,#EEE600 ,93.00%,90.00%,0.00%,58° ,100.00%,47.00%,100.00%,93.00%
Tomato ,#FF6347 ,100.00%,39.00%,28.00%,9° ,100.00%,64.00%,72.00%,100.00%
Tourmaline ,#86A1A9 ,53.00%,63.00%,66.00%,194° ,17.00%,50.00%,17.00%,66.00%
Tropical rainforest ,#00755E ,0.00%,46.00%,37.00%,168° ,100.00%,23.00%,100.00%,46.00%
True Blue ,#2D68C4 ,0.00%,45.00%,81.00%,207° ,100.00%,41.00%,100.00%,81.00%
Trypan Blue ,#1C05B3 ,11.00%,2.00%,70.00%,248° ,95.00%,36.00%,95.00%,70.00%
Tufts blue ,#3E8EDE ,24.00%,56.00%,87.00%,210° ,71.00%,56.00%,70.70%,87.10%
Tumbleweed ,#DEAA88 ,87.00%,67.00%,53.00%,24° ,57.00%,70.00%,39.00%,87.00%
Turquoise ,#40E0D0 ,25.00%,88.00%,82.00%,174° ,72.00%,56.00%,71.00%,88.00%
Turquoise blue ,#00FFEF ,0.00%,100.00%,94.00%,176° ,100.00%,50.00%,100.00%,100.00%
Turquoise green ,#A0D6B4 ,63.00%,84.00%,71.00%,142° ,40.00%,73.00%,25.00%,84.00%
Turtle green ,#8A9A5B ,54.00%,60.00%,36.00%,75° ,26.00%,48.00%,41.00%,60.00%
Tuscan ,#FAD6A5 ,98.00%,84.00%,65.00%,35° ,90.00%,81.00%,34.00%,98.00%
Tuscan brown ,#6F4E37 ,44.00%,31.00%,22.00%,25° ,34.00%,33.00%,50.00%,44.00%
Tuscan red ,#7C4848 ,49.00%,28.00%,28.00%,0° ,27.00%,38.00%,42.00%,49.00%
Tuscan tan ,#A67B5B ,65.00%,48.00%,36.00%,26° ,30.00%,50.00%,45.00%,65.00%
Tuscany ,#C09999 ,75.00%,60.00%,60.00%,0° ,24.00%,68.00%,20.00%,75.00%
Twilight lavender ,#8A496B ,54.00%,29.00%,42.00%,329° ,31.00%,41.00%,47.00%,54.00%
Tyrian purple ,#66023C ,40.00%,1.00%,24.00%,325° ,96.00%,20.00%,98.00%,40.00%
UA blue ,#0033AA ,0.00%,20.00%,67.00%,222° ,100.00%,33.00%,100.00%,67.00%
UA red ,#D9004C ,85.00%,0.00%,30.00%,339° ,100.00%,43.00%,100.00%,85.00%
Ultramarine ,#3F00FF ,7.00%,4.00%,56.00%,244° ,87.00%,30.00%,93.00%,56.00%
Ultramarine blue ,#4166F5 ,25.00%,40.00%,96.00%,228° ,90.00%,61.00%,73.00%,96.00%
Ultra pink ,#FF6FFF ,100.00%,44.00%,100.00%,300° ,100.00%,72.00%,56.00%,100.00%
Ultra red ,#FC6C85 ,99.00%,42.00%,52.00%,350° ,96.00%,71.00%,57.00%,99.00%
Umber ,#635147 ,39.00%,32.00%,28.00%,21° ,17.00%,33.00%,28.00%,39.00%
Unbleached silk ,#FFDDCA ,100.00%,87.00%,79.00%,22° ,100.00%,90.00%,21.00%,100.00%
United Nations blue ,#009EDB ,0.00%,62.00%,86.00%,197° ,100.00%,43.00%,100.00%,86.00%
University of Pennsylvania red ,#A50021 ,65.00%,0.00%,13.00%,348° ,100.00%,32.00%,100.00%,65.00%
Unmellow yellow ,#FFFF66 ,100.00%,100.00%,40.00%,60° ,100.00%,70.00%,60.00%,100.00%
UP Forest green ,#014421 ,0.00%,27.00%,13.00%,149° ,97.00%,14.00%,99.00%,27.00%
UP maroon ,#7B1113 ,48.00%,7.00%,7.00%,359° ,76.00%,27.00%,86.00%,48.00%
Upsdell red ,#AE2029 ,68.00%,13.00%,16.00%,356° ,69.00%,40.00%,82.00%,68.00%
Uranian blue ,#AFDBF5 ,69.00%,86.00%,96.00%,202° ,78.00%,82.00%,29.00%,96.00%
USAFA blue ,#004F98 ,0.00%,31.00%,60.00%,209° ,100.00%,30.00%,100.00%,60.00%
Van Dyke brown ,#664228 ,40.00%,26.00%,16.00%,25° ,44.00%,28.00%,60.00%,0.00%
Vanilla ,#F3E5AB ,95.00%,90.00%,67.00%,48° ,75.00%,81.00%,30.00%,95.00%
Vanilla ice ,#F38FA9 ,95.00%,56.00%,66.00%,344° ,81.00%,76.00%,41.00%,95.00%
Vegas gold ,#C5B358 ,77.00%,70.00%,35.00%,50° ,48.00%,56.00%,55.00%,77.00%
Venetian red ,#C80815 ,78.00%,3.00%,8.00%,356° ,92.00%,41.00%,96.00%,78.00%
Verdigris ,#43B3AE ,26.00%,70.00%,68.00%,177° ,46.00%,48.00%,63.00%,70.00%
Vermilion ,#E34234 ,89.00%,26.00%,20.00%,5° ,76.00%,55.00%,77.00%,89.00%
Vermilion ,#D9381E ,85.00%,22.00%,12.00%,8° ,76.00%,48.00%,86.00%,85.00%
Veronica ,#A020F0 ,63.00%,13.00%,94.00%,277° ,87.00%,53.00%,87.00%,94.00%
Violet ,#8F00FF ,56.00%,0.00%,100.00%,274° ,100.00%,50.00%,100.00%,100.00%
Violet (color wheel) ,#7F00FF ,50.00%,0.00%,100.00%,270° ,100.00%,50.00%,100.00%,100.00%
Violet (crayola) ,#963D7F ,59.00%,24.00%,50.00%,316° ,42.00%,41.00%,59.00%,59.00%
Violet (RYB) ,#8601AF ,53.00%,0.00%,69.00%,286° ,99.00%,35.00%,99.00%,69.00%
Violet (web) ,#EE82EE ,93.00%,51.00%,93.00%,300° ,76.00%,72.00%,45.00%,93.00%
Violet-blue ,#324AB2 ,20.00%,29.00%,70.00%,229° ,56.00%,45.00%,72.00%,70.00%
Violet-blue (Crayola) ,#766EC8 ,46.00%,43.00%,78.00%,246° ,45.00%,61.00%,45.00%,78.00%
Violet-red ,#F75394 ,97.00%,33.00%,58.00%,336° ,91.00%,65.00%,66.00%,97.00%
Violet-red(PerBang) ,#F0599C ,94.00%,35.00%,61.00%,333° ,83.00%,65.00%,63.00%,94.00%
Viridian ,#40826D ,25.00%,51.00%,43.00%,161° ,34.00%,38.00%,51.00%,51.00%
Viridian green ,#009698 ,0.00%,59.00%,60.00%,181° ,100.00%,30.00%,100.00%,60.00%
Vivid burgundy ,#9F1D35 ,62.00%,11.00%,21.00%,349° ,69.00%,37.00%,82.00%,62.00%
Vivid sky blue ,#00CCFF ,0.00%,80.00%,100.00%,192° ,100.00%,50.00%,100.00%,100.00%
Vivid tangerine ,#FFA089 ,100.00%,63.00%,54.00%,12° ,100.00%,77.00%,46.00%,100.00%
Vivid violet ,#9F00FF ,62.00%,0.00%,100.00%,277° ,100.00%,50.00%,100.00%,100.00%
Volt ,#CEFF00 ,80.00%,100.00%,0.00%,72° ,100.00%,50.00%,100.00%,100.00%
Warm black ,#004242 ,0.00%,26.00%,26.00%,180° ,100.00%,13.00%,100.00%,25.00%
Weezy Blue ,#189BCC ,9.00%,61.00%,80.00%,196° ,79.00%,45.00%,88.00%,80.00%
Wheat ,#F5DEB3 ,96.00%,87.00%,70.00%,39° ,77.00%,83.00%,27.00%,96.00%
White ,#FFFFFF ,100.00%,100.00%,100.00%,—° ,0.00%,100.00%,0.00%,100.00%
Wild blue yonder ,#A2ADD0 ,64.00%,68.00%,82.00%,226° ,33.00%,73.00%,22.00%,82.00%
Wild orchid ,#D470A2 ,83.00%,44.00%,64.00%,330° ,54.00%,64.00%,47.00%,83.00%
Wild Strawberry ,#FF43A4 ,100.00%,26.00%,64.00%,329° ,100.00%,63.00%,74.00%,100.00%
Wild watermelon ,#FC6C85 ,99.00%,42.00%,52.00%,350° ,96.00%,71.00%,57.00%,99.00%
Windsor tan ,#A75502 ,65.00%,33.00%,1.00%,30° ,98.00%,33.00%,99.00%,65.00%
Wine ,#722F37 ,45.00%,18.00%,22.00%,353° ,42.00%,32.00%,59.00%,45.00%
Wine dregs ,#673147 ,40.00%,19.00%,28.00%,336° ,36.00%,30.00%,52.00%,40.00%
Winter Sky ,#FF007C ,100.00%,0.00%,49.00%,331° ,100.00%,50.00%,100.00%,100.00%
Wintergreen Dream ,#56887D ,34.00%,53.00%,49.00%,167° ,23.00%,44.00%,37.00%,53.00%
Wisteria ,#C9A0DC ,79.00%,63.00%,86.00%,281° ,46.00%,75.00%,27.00%,86.00%
Wood brown ,#C19A6B ,76.00%,60.00%,42.00%,33° ,41.00%,59.00%,45.00%,76.00%
Xanadu ,#738678 ,45.00%,53.00%,47.00%,136° ,8.00%,49.00%,14.00%,53.00%
Xanthic ,#EEED09 ,93.00%,93.00%,4.00%,60° ,93.00%,48.00%,97.00%,93.00%
Xanthous ,#F1B42F ,95.00%,71.00%,18.00%,41° ,87.00%,57.00%,80.00%,95.00%
Yale Blue ,#00356B ,0.00%,21.00%,42.00%,210° ,100.00%,21.00%,100.00%,42.00%
Yellow ,#FFFF00 ,100.00%,100.00%,0.00%,60° ,100.00%,50.00%,100.00%,100.00%
Yellow (Crayola) ,#FCE883 ,99.00%,91.00%,51.00%,50° ,95.00%,75.00%,48.00%,99.00%
Yellow (Munsell) ,#EFCC00 ,94.00%,80.00%,0.00%,51° ,100.00%,47.00%,100.00%,94.00%
Yellow (NCS) ,#FFD300 ,100.00%,83.00%,0.00%,50° ,100.00%,50.00%,100.00%,100.00%
Yellow (Pantone) ,#FEDF00 ,100.00%,87.00%,0.00%,53° ,100.00%,50.00%,100.00%,100.00%
Yellow (process) ,#FFEF00 ,100.00%,94.00%,0.00%,56° ,100.00%,50.00%,100.00%,100.00%
Yellow (RYB) ,#FEFE33 ,100.00%,100.00%,20.00%,60° ,99.00%,60.00%,80.00%,100.00%
Yellow-green ,#9ACD32 ,60.00%,80.00%,20.00%,80° ,61.00%,50.00%,76.00%,80.00%
Yellow-green (Crayola) ,#C5E384 ,77.00%,89.00%,52.00%,79° ,63.00%,70.00%,42.00%,89.00%
Yellow-green (Color Wheel) ,#30B21A ,19.00%,70.00%,10.00%,112° ,75.00%,40.00%,85.00%,70.00%
Yellow Orange ,#FFAE42 ,100.00%,68.00%,26.00%,34° ,100.00%,63.00%,74.00%,100.00%
Yellow Orange (Color Wheel) ,#FF9505 ,100.00%,58.00%,2.00%,36° ,100.00%,51.00%,98.00%,100.00%
Yellow Sunshine ,#FFF700 ,100.00%,97.00%,0.00%,58° ,100.00%,50.00%,100.00%,100.00%
YInMn Blue ,#2E5090 ,18.00%,31.00%,56.00%,219° ,52.00%,37.00%,68.00%,56.00%
Zaffre ,#0014A8 ,0.00%,8.00%,66.00%,233° ,100.00%,33.00%,100.00%,66.00%
Zinnwaldite brown ,#2C1608 ,17.00%,9.00%,3.00%,23° ,69.00%,10.00%,82.00%,17.00%
Zomp ,#39A78E ,22.00%,65.00%,56.00%,166° ,49.00%,44.00%,66.00%,65.00%
